"agency_cd","site_no","dateTime","Flow","Flow_cd","GH","GH_cd","tz_cd"
"USGS","12488500",1980-07-26,92,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-27,89,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-28,87,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-29,85,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-30,83,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-31,81,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-01,79,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-02,77,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-03,76,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-04,75,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-05,73,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-06,72,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-07,71,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-08,70,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-09,69,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-10,67,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-11,66,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-12,65,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-13,63,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-14,62,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-15,61,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-16,60,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-17,60,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-18,59,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-19,58,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-20,57,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-21,56,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-22,55,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-23,54,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-24,52,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-25,52,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-26,51,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-27,53,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-28,55,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-29,53,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-30,53,"A",NA,NA,"UTC"
"USGS","12488500",1980-08-31,60,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-01,56,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-02,58,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-03,56,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-04,55,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-05,52,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-06,51,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-07,49,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-08,48,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-09,47,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-10,46,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-11,45,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-12,44,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-13,48,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-14,57,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-15,53,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-16,49,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-17,47,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-18,46,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-19,46,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-20,53,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-21,52,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-22,51,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-23,50,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-24,47,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-25,46,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-26,45,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-27,44,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-28,43,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-29,42,"A",NA,NA,"UTC"
"USGS","12488500",1980-09-30,41,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-01,41,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-02,40,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-03,40,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-04,39,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-05,39,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-06,38,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-07,37,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-08,37,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-09,36,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-10,36,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-11,36,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-12,37,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-13,39,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-14,39,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-15,38,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-16,37,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-17,38,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-18,38,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-19,37,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-20,36,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-21,36,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-22,35,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-23,35,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-24,35,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-25,38,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-26,38,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-27,37,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-28,37,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-29,37,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-30,37,"A",NA,NA,"UTC"
"USGS","12488500",1980-10-31,37,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-01,52,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-02,99,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-03,84,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-04,147,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-05,108,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-06,118,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-07,513,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-08,535,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-09,361,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-10,252,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-11,196,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-12,162,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-13,141,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-14,127,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-15,117,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-16,109,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-17,103,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-18,98,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-19,99,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-20,96,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-21,158,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-22,264,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-23,196,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-24,169,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-25,154,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-26,139,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-27,146,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-28,172,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-29,169,"A",NA,NA,"UTC"
"USGS","12488500",1980-11-30,157,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-01,145,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-02,129,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-03,138,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-04,139,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-05,126,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-06,110,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-07,90,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-08,85,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-09,90,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-10,95,"A",NA,NA,"UTC"
